base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
0.0,0.1,0.1,10,45.000057346812596,0.985624367035817,0.0,0.1,C1,22,0,coco-000000078266-000000481413,0.1,156182254.93333334,0.308161090124123,1.0,1.0000000000000002,,1.0,2.0827913676666867,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9855068974066322,0.0,0.1,C2,22,0,coco-000000078266-000000481413,0.1,156261990.4,0.30944129639623436,1.0,1.0000000000000002,,1.0,2.8738296746332104,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9855969880398273,0.0,0.1,C3,22,0,coco-000000078266-000000481413,0.1,156397431.46666664,0.30819796726029863,1.0,1.0000000000000002,,1.0,2.4768926711001162,0.9,0.1
0.0,0.1,0.1,10,45.00003317608025,0.9856450905539595,0.0,0.1,C3_NP,22,0,coco-000000078266-000000481413,0.1,156519765.3333333,0.30815014690891646,1.0,1.0000000000000002,,1.0,2.854925720699854,0.9,0.1
,,0.1,10,45.5804556550165,0.9963753968009268,,,B1,22,0,coco-000000083540-000000161875,0.7005821228027345,156442077.86666664,0.29941787719726565,0.7005821228027345,0.8218238197460336,12.607363802766626,0.34038100889350553,0.008890131333949588,0.0,
,,0.1,10,44.856512659479314,0.9927851230998914,,,B2,22,0,coco-000000083540-000000161875,0.6089996337890626,155907413.33333334,0.3910003662109375,0.6089996337890626,0.7591799917510236,8.827931607400167,0.1581489704165151,0.013172267066571902,0.0,
0.0,0.1,0.1,10,45.00002511919936,0.9939892766817403,0.0,0.1,C0,22,0,coco-000000083540-000000161875,0.1,156751598.93333334,0.30827486958085987,1.0,1.0,,1.0,2.568858857699949,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9937029321952527,0.0,0.1,C1,22,0,coco-000000083540-000000161875,0.1,156483857.06666666,0.30656532949571264,1.0,1.0,,1.0,2.8438600922998374,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9939944347111924,0.0,0.1,C2,22,0,coco-000000083540-000000161875,0.1,156359748.2666667,0.3078795646699047,1.0,1.0,,1.0,2.4485083567333277,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9936965671565778,0.0,0.1,C3,22,0,coco-000000083540-000000161875,0.1,156470613.3333333,0.3066795586736223,1.0,1.0,,1.0,1.8658899451998878,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9937070629517677,0.0,0.1,C3_NP,22,0,coco-000000083540-000000161875,0.1,156364390.4,0.30712912993943753,1.0,1.0,,1.0,1.8239892951665755,0.9,0.1
,,0.1,10,45.9607119568564,0.986487586962444,,,B1,22,0,coco-000000098392-000000343706,0.7080164591471354,155087667.2,0.2919835408528646,0.7080164591471354,0.903812377437886,13.579038702993717,0.32491360272680875,0.013575303300058295,0.0,
,,0.1,10,45.16739201794864,0.9837328975864624,,,B2,22,0,coco-000000098392-000000343706,0.6011024475097656,154926557.86666667,0.3988975524902344,0.6011024475097656,0.8054657536870362,8.552098297318965,0.15542691559304944,0.012699510266975267,0.0,
0.0,0.1,0.1,10,45.00006540375328,0.983068139914467,0.0,0.1,C0,22,0,coco-000000098392-000000343706,0.1,153867059.2,0.30725700065959105,1.0,0.9999999999999999,,1.0,1.698608949333296,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.983386630816165,0.0,0.1,C1,22,0,coco-000000098392-000000343706,0.1,153998540.8,0.3061331474485819,1.0,0.9999999999999999,,1.0,1.969808513966988,0.9,0.1
